MF102,MF117,MF121,MF1223,MF124,MF13,MF134,MF137,MF141,MF144,MF167,MF179,MF181,MF184,MF191,MF195,MF198,MF2,MF200,MF21,MF257,MF27,MF312,MF370,MF39,MF421,MF439,MF44,MF46,MF465,MF476,MF478,MF5,MF557,MF57,MF59,MF6,MF697,MF7,MF78,MF89,MF9
3.3174987,7.6541634,8.169081,3.7637925,8.997614,11.5800495,3.803065,82.18299,5.875328,0.0,3.2511969,12.931306,25.74434,0.0,0.0,32.530533,11.871205,0.0,7.670187,0.0,0.0,17.474531,0.0,6.7007465,0.0,0.0,5.4970226,0.0,0.0,0.0,3.9173312,6.80717,0.0,0.0,6.0137777,0.0,40.01954,3.0256438,68.553696,0.0,0.0,3.380469
0.0,2.1581006,0.0,0.0,1.1246545,0.0,0.0,82.886375,7.6091957,14.831744,0.0,12.097181,17.427767,5.7225966,0.0,19.300638,2.9127498,0.0,18.630684,0.0,3.528255,6.588047,21.884304,0.0,0.0,5.7498784,14.0952425,2.2879384,0.0,0.0,0.0,0.0,8.584513,0.0,0.0,0.0,10.09488,1.2021289,8.587397,0.0,9.98689,0.0
3.647149,22.348864,0.0,7.7011166,0.0,0.0,31.304138,36.047134,11.508107,15.390861,7.6706533,14.999651,9.095811,13.999579,0.0,0.0,1.2049345,0.0,24.470219,0.0,6.3710346,3.3826106,15.748581,42.036964,0.0,12.59304,0.0,0.0,0.0,0.0,0.0,3.1643412,100.47349,0.0,5.4897003,9.984715,5.767555,0.0,302.73047,19.147686,0.0,0.0
21.362741,6.409311,8.177695,140.902,11.88434,0.0,37.90966,18.657673,25.956675,34.940693,0.0,3.1984913,10.631882,4.813104,0.0,92.77674,31.434313,0.0,3.481582,2.8168538,11.19509,20.417973,21.052729,25.541948,7.105565,1.8739474,13.2881,0.0,0.0,0.0,26.361446,3.3387842,29.895945,0.0,0.0,8.929815,11.762059,0.0,386.0888,21.10056,0.0,3.7052827
4.01763,3.5489402,9.1374855,3.9359102,7.339957,13.508857,2.3674202,71.8587,8.9627495,12.569988,4.330937,4.711472,25.070206,0.0,0.0,26.323524,6.7057366,0.0,19.224464,0.0,0.0,1.8994821,0.0,24.801796,0.0,0.0,7.717711,0.0,0.0,0.0,0.0,12.58766,0.0,0.0,3.7903774,1.1905093,39.04985,1.921025,57.9117,0.0,0.0,1.6400405
0.0,2.1416395,0.0,0.0,0.0,0.0,2.806373,56.22524,4.2341847,4.371525,0.0,4.7737164,5.3535523,3.3157053,0.0,12.976358,2.895236,0.0,11.122654,0.0,0.0,3.9285512,6.012499,0.0,0.0,9.138962,7.407681,1.099989,0.0,0.0,0.0,0.0,6.6543984,0.0,0.0,0.0,0.0,0.0,19.112518,0.0,0.0,0.0
6.138217,13.678822,0.0,22.839045,0.0,0.0,13.023315,27.50225,17.764908,4.340519,3.0212398,4.376895,15.170785,3.3838696,0.0,13.204672,7.529409,0.0,13.063611,0.0,10.629494,0.0,21.471268,52.098175,0.0,2.3290546,15.142429,0.0,0.0,0.0,0.0,4.1378126,49.055088,0.0,6.217936,23.846207,0.0,0.0,307.87387,17.616377,0.0,0.0
37.703426,28.210812,8.466819,624.41534,62.420288,0.0,18.851316,27.904205,30.807316,0.0,0.0,1.1056399,20.090956,11.752312,0.0,211.63374,33.31785,5.869132,10.445408,3.4857805,11.053255,18.850988,38.824482,40.076027,1.6527299,0.0,16.267164,0.0,0.0,0.0,5.9221745,46.8391,35.351936,0.0,0.0,6.5237656,18.439184,0.0,704.1618,9.731366,0.0,2.7130647
0.0,8.235746,6.1550593,3.4246457,10.855771,11.4213295,4.642163,96.06766,9.875376,18.648281,4.5659547,13.466974,35.31838,0.0,0.0,30.129236,5.5343056,0.0,10.38069,0.0,10.637266,12.082254,4.946386,0.0,0.0,0.0,7.9081182,1.2540869,0.0,0.0,0.0,3.2081404,0.0,0.0,6.260553,0.0,47.74611,0.0,62.496197,0.0,11.152687,1.4858457
0.0,2.2304194,3.263345,0.0,0.0,9.967654,1.1063049,113.99838,0.0,0.0,3.0565073,12.409988,36.8777,3.194552,0.0,26.33617,1.2492737,0.0,23.867691,0.0,3.7429032,4.285274,7.712579,3.0236006,0.0,6.818297,17.095957,1.1600235,0.0,0.0,0.0,2.824767,7.0623903,0.0,0.0,0.0,14.319317,0.0,47.76711,0.0,6.398976,0.0
6.782059,26.992287,0.0,45.457565,0.0,3.356895,25.394852,38.430946,13.346304,10.461908,6.3594513,6.0070047,18.09909,0.0,0.0,8.987158,6.638071,0.126206,8.724963,0.038203854,2.775022,3.3109162,22.897558,57.356853,2.616352,0.0,9.678382,0.0,0.0,0.0,0.0,3.6792727,48.68922,0.0,3.5001297,0.0,4.090378,0.020893335,652.2911,7.7745347,0.0,3.193694
34.43448,18.317251,12.016694,70.22534,143.80643,37.692516,37.46686,46.5557,36.01807,42.60885,8.706914,2.7344677,28.480167,0.0,0.0,108.65045,43.588333,12.997074,8.404713,20.46992,5.7111893,8.39174,36.009186,50.959534,7.283636,0.0,19.857256,0.0,0.0,0.0,9.577428,6.483929,17.337053,0.0,0.0,18.08481,21.47333,9.2068,949.648,42.809498,0.0,5.6705236
10.920224,5.440779,10.132922,0.0,41.579796,10.251346,1.0475781,94.62401,7.699149,10.459986,18.652447,3.9039516,33.826363,0.0,0.0,30.208532,8.224105,1.7833588,28.31429,0.0,9.590684,8.134504,7.7483644,17.131393,3.614241,2.2877166,28.48492,1.8933135,0.0,0.0,8.169164,2.7854848,0.0,0.0,6.240766,0.0,10.832632,5.0561867,52.851078,0.0,0.0,0.0
0.0,4.2711573,0.0,0.0,1.494045,2.8283064,4.536653,126.339096,9.026356,0.0,8.08814,13.780917,42.086876,4.1029015,0.0,15.35578,2.4410853,0.0,17.784409,0.0,6.9424286,0.0,20.569708,26.917643,0.0,0.0,12.10569,2.664136,0.0,0.0,0.0,3.982754,2.6430845,0.0,0.0,0.0,26.117159,0.0,85.49014,0.0,0.0,0.0
5.5770383,26.971334,0.0,57.698944,0.0,3.573676,37.385597,94.12162,27.546267,28.953129,10.973062,9.080732,19.993292,3.8363276,0.0,0.0,6.531482,3.6519299,24.921734,4.4415784,0.0,7.6227603,26.516201,229.58304,3.0901978,0.0,38.929718,0.0,0.0,0.0,0.0,0.0,109.465485,0.0,0.15588981,0.0,26.501034,0.0,1080.5939,21.742987,0.0,0.0
38.53362,7.5090694,9.695255,89.64362,105.555275,11.244582,34.698277,28.728172,32.447906,78.22073,0.0,3.4795244,55.514122,6.100432,0.0,95.79664,24.286518,15.222998,9.7811365,15.162815,3.7042193,19.803701,42.362633,59.712997,21.597847,0.0,51.215843,0.0,0.0,0.0,3.9012914,7.8756795,17.536413,0.0,0.0,26.154835,17.54255,17.28905,628.40454,6.5247855,0.0,3.0125809
8.398468,4.4133677,4.6798506,0.0,29.025496,0.0,6.4890537,71.126335,10.274124,35.254894,11.295917,2.5378025,33.063515,2.6831045,0.0,27.926954,6.0480313,0.11794005,22.506031,0.011716444,10.568962,10.292,8.274797,13.261644,3.111696,3.3245652,14.30276,0.0,0.0,0.0,4.8237324,2.7044775,0.0,0.0,2.8302782,0.42003596,14.498616,3.0853627,6.44404,0.0,0.9847927,0.0
0.0,5.8334756,0.0,0.0,0.0,0.0,5.569237,131.49709,15.841522,21.490211,1.5945626,10.212249,41.368454,2.6135273,0.0,10.140438,1.8001024,0.0,12.226229,0.0,19.226633,11.176045,21.405003,19.673407,0.0,1.8697338,0.046996593,0.072913036,0.0,0.0,0.0,4.348753,17.178642,0.0,0.0,0.0,31.479376,0.0,63.257195,0.0,2.531773,0.0
6.778708,17.951761,0.0,74.17747,0.0,0.0,25.472883,64.45195,33.457375,34.17872,7.490683,9.751269,20.901709,8.78662,0.0,11.291103,8.330004,3.4712071,11.042746,4.7281237,10.313415,26.920713,22.14708,102.97624,0.1105655,5.2568917,9.160105,0.0,0.0,0.0,0.0,2.6915927,97.03042,0.0,3.1350443,0.0,11.019483,0.0,547.5373,19.053547,0.0,3.1813176
30.611525,2.7419496,0.0,0.92532945,37.3822,4.522643,28.42558,23.29888,41.955677,46.620293,0.0,5.8826222,18.264708,0.24040061,0.0,78.14163,19.503498,0.7112599,8.628603,7.218697,0.0,19.244837,30.003202,29.087412,6.856178,0.0,6.935389,0.0,0.0,0.0,15.604163,4.308887,7.4798384,0.0,0.0,37.23142,24.651606,9.667038,366.27734,8.655713,0.0,8.958217
1.9222956,3.1278305,2.3362372,0.0,5.908941,1.1115665,6.235146,42.72539,13.6168165,37.956333,0.0,3.7939527,30.490894,0.0,0.0,19.059849,4.623473,0.0,14.6736355,0.0,0.0,8.485278,0.0,24.614101,0.0,3.4128723,3.375348,0.0,0.0,0.0,0.0,6.5177546,4.8677287,0.0,0.0,2.0248628,32.312767,3.4694235,27.131165,0.0,0.0,0.19560878
0.0,0.10273275,0.0,0.0,0.0,0.0,1.8103504,67.44073,6.2764626,58.216713,0.0,1.3662933,10.447945,3.155057,0.0,18.453531,2.0307307,0.0,23.110428,0.0,10.558143,9.195114,20.25243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0179734,17.033224,0.0,0.0,0.0,10.646078,0.0,1.5297737,0.0,7.110982,0.52213985
8.754088,24.440989,0.0,21.06213,0.0,0.0,25.61124,35.480446,11.452459,32.30149,0.2653522,14.360902,15.161676,11.881236,0.0,8.044916,0.0,1.8715651,30.109001,0.0,7.4424095,12.958853,26.529528,37.19294,0.0,3.3102744,1.9518862,0.0,0.0,0.0,0.6909301,4.5159016,129.64784,0.0,6.6161103,0.8867601,4.100149,4.9829283,405.56174,7.836781,0.0,2.1686358
38.278023,2.2407815,8.420568,0.0,18.833775,0.0,29.366138,0.0,25.81288,392.5485,0.0,0.0,12.392991,1.8959208,0.0,50.15888,20.985336,1.7704276,2.8287811,12.88453,5.551552,30.369745,29.66707,13.918619,10.03864,0.6098928,5.6364207,0.0,0.0,0.0,10.336377,3.6346471,29.902761,0.0,0.0,11.002998,11.3996935,2.3183987,387.7735,17.303286,0.0,3.6409557
2.3164232,7.0774765,8.500603,0.0,8.293943,12.403514,2.4017699,84.40474,6.050717,0.0,3.3352478,11.08879,26.048674,0.0,0.0,28.816828,10.201948,0.0,11.238783,0.0,0.0,12.806998,0.0,9.873638,0.0,0.0,6.391775,0.0,0.0,0.0,2.0973768,7.9706717,0.0,0.0,6.206567,0.0,40.22678,2.8113382,63.44622,0.0,0.0,3.3740907
0.0,2.5973134,0.0,0.0,4.8546815,0.0,0.0,72.74075,4.3582172,12.4105015,0.0,7.80066,8.442609,3.5579748,0.0,12.44969,3.966507,0.0,11.648803,0.0,2.743713,6.2580314,13.580198,0.0,0.0,7.767078,9.547776,1.0719796,0.0,0.0,0.0,0.0,4.275692,0.0,0.0,0.0,0.0,0.12063134,20.766077,0.0,4.4626904,0.0
