"102","116","117","121","1223","124","13","134","137","140","141","144","179","181","184","19","191","195","198","2","200","257","27","28","312","370","39","421","439","44","46","478","5","557","59","6","697","7","78","9","time_step"
1,0,10,3,0,23,0,9,33,5,25,51,3,11,0,0,6,17,7,1,2,0,3,7,1,1,0,1,10,15,1,3,17,1,10,314,1,33,0,0,"34"
0,0,62,0,0,136,1,13,60,0,3,3,8,62,1,0,0,8,7,0,9,3,2,0,11,18,0,0,3,4,0,2,22,0,4,36,26,47,0,3,"35"
3,0,27,0,38,731,1,43,77,1,19,21,9,94,1,0,9,2,17,4,17,2,4,1,23,168,1,0,23,32,1,0,57,2,18,24,11,718,14,0,"36"
24,0,10,8,39,141,3,56,30,14,37,263,19,72,1,0,49,53,20,4,4,1,5,15,36,16,3,3,40,38,0,1,119,3,61,222,0,650,2,11,"37"
3,0,9,2,26,6,3,5,61,2,4,76,12,21,1,0,2,15,12,0,10,1,3,6,1,4,0,1,39,24,1,1,29,2,8,623,4,46,0,57,"38"
0,0,14,2,0,16,8,9,71,0,1,43,17,38,2,0,2,48,13,0,31,0,0,0,9,0,1,2,29,11,0,0,20,1,5,104,21,15,0,1,"39"
3,0,16,0,10,149,4,19,42,3,17,41,3,68,2,0,12,11,18,1,15,0,0,2,11,60,1,4,25,25,5,2,51,2,8,20,17,450,8,4,"40"
32,0,10,21,314,116,3,42,13,43,28,306,11,23,4,0,37,41,25,34,10,1,11,5,29,27,6,33,30,87,6,1,171,4,17,344,21,704,6,3,"41"
2,0,12,11,4,23,2,16,68,15,3,163,6,21,0,0,6,29,14,3,4,0,6,8,1,6,0,3,20,20,1,2,67,0,12,459,20,94,0,3,"42"
1,0,9,2,0,1,1,4,91,3,2,33,3,28,3,0,0,14,1,4,7,1,1,2,9,0,6,1,22,19,0,0,17,0,0,33,10,47,0,8,"43"
3,0,16,3,25,180,0,19,37,3,5,98,2,58,3,0,3,6,12,13,13,0,3,5,22,41,0,4,25,63,4,3,70,6,4,27,8,499,2,3,"44"
