x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55
1.0280805,0.971372,8.122887,2.972565,10.127018,9.53199,11.800807,0.0,0.0,7.2037945,10.501544,3.7781303,0.9569404,4.010903,8.839592,9.049652,1.957765,4.0885286,8.929266,11.991487,1.9777639,0.0,21.962334,0.9634762,0.12141585,0.0,19.945486,13.967604,1.9649813,0.0,14.925179,7.006111,0.0,0.95645976,14.997263,5.9720883,0.0,2.0065114,5.019073,7.985033,1.9777865,5.005302,0.0,10.757107,1.1039506,2.5364194,15.362976,8.107196,1.7464726,0.0,21.576231,1.0709282,2.0802467,0.0,19.954714
5.9359517,0.0,66.02404,9.956793,45.931274,7.4405828,36.140984,0.0,10.358057,23.415226,20.897984,0.0,19.947565,19.899479,24.071442,0.9900179,18.001503,26.013496,21.97583,1.9642324,21.865843,19.96646,55.86615,3.9574428,3.7315407,14.956242,36.939438,7.99787,7.9520116,29.97123,50.00557,1.0214987,10.916048,22.857416,36.000214,0.97678614,8.984543,10.96847,28.989021,0.99427223,8.961454,21.951633,0.0,21.612038,23.90638,27.637432,60.187317,5.5801873,15.719543,20.245043,53.52652,4.442763,2.654243,18.123768,36.97925
37.98283,0.0,64.07106,61.025967,23.228622,0.3781135,45.661743,41.308586,17.56828,88.37871,30.834993,5.640851,0.8033906,71.00623,16.989763,2.069358,0.0,34.82349,28.186447,7.065115,0.0,41.99563,38.63538,0.0,0.0,39.009495,53.159714,10.084093,0.0,63.21088,52.09579,0.97885776,18.207148,168.48044,16.099958,4.0415163,0.0,60.116825,27.105629,6.002697,0.0,41.078686,0.0,2.2184672,7.40104,17.818478,67.65068,0.0,0.0,50.71277,37.678352,0.40792656,0.0,26.703453,53.197376
9.961739,0.0,15.947634,2.2043037,10.036219,0.29285455,9.908871,0.2415142,0.0,0.55776167,4.8120546,0.0,0.8576193,1.1903865,9.007021,0.0,0.0,0.0,7.2485147,0.0062663555,0.0,4.1719136,3.486117,6.2503715,0.0,0.0,7.414243,0.0,0.0,3.3388038,15.224497,0.0,0.0,1.4533839,3.1659155,0.0,0.9142122,1.098547,6.0729556,0.0,5.9830346,0.0,0.0,0.0,0.0,0.17134213,7.8140225,0.0,0.0,3.3381453,3.982428,6.6230254,0.0,0.0,7.4173617
0.0,0.0,1.1717361,7.204216,16.297762,4.0753937,9.8498125,0.0,2.7818542,3.536164,7.2113247,5.140423,14.069144,16.17232,0.0,1.106136,0.0,5.324211,33.37739,8.221029,3.0912478,15.266859,21.741888,4.264064,3.0863936,4.1588492,11.402873,4.284942,2.0848608,3.3779743,3.2283666,0.0,0.0,0.10065493,3.0953715,0.0,1.9985737,4.0320606,33.086407,3.1247773,0.0,4.076243,0.0,8.67053,0.0,7.764347,13.623177,12.778893,4.475144,15.040074,23.27559,4.6567183,2.605357,0.0,11.453036
0.0,1.1431785,7.7830005,11.841846,3.8129478,1.3005872,0.0,18.793686,0.0,0.0,0.74653554,0.0,1.083849,0.8429589,2.723165,0.0,0.0,2.8845,12.918663,5.9848704,7.833038,0.0,16.026567,4.9847403,4.010556,9.906849,15.901749,16.068932,9.115038,7.968406,40.9249,9.986195,3.1444545,22.994038,39.916313,39.01601,29.060501,24.979477,29.927357,19.95377,22.029327,24.948984,0.0,8.2060375,19.065117,0.0,20.771461,19.144398,1.5599642,0.0,15.965691,3.8514524,4.307639,14.109251,15.873962
14.0633,23.893896,132.17793,40.224533,105.12978,40.172752,106.120865,54.5792,12.431893,37.43611,72.20138,6.2797003,24.01849,54.21647,81.23062,30.016983,34.101128,85.16954,101.18504,37.176506,12.031155,30.179571,124.53962,27.00277,22.447323,54.16671,173.33362,27.184872,27.95475,108.113106,64.27472,15.0260105,3.8960934,32.147743,38.200436,24.126974,10.97865,24.980883,87.16658,20.114613,19.035103,63.04557,0.0,19.060535,7.1899147,54.078957,150.88872,47.777763,1.0912895,53.709793,128.83575,27.29646,28.08583,64.88668,173.39705
3.0499482,0.0,44.15113,4.188616,40.25418,6.0304575,21.387562,0.5039652,0.0,29.646986,5.7458487,7.064131,0.0,35.126377,3.2813094,2.1470487,0.0,5.173875,6.3109293,2.160818,0.019019842,2.1756556,8.222741,5.1955385,0.0,3.0955827,4.3223295,1.1811125,0.0,4.189129,4.1661854,0.0,0.0,1.1396329,0.0,1.1347544,0.0,5.001939,6.0795336,0.0,0.0,4.059952,0.9412303,0.0,0.0,7.0147085,14.942353,0.0,0.0,0.0,8.502978,5.3871536,0.0,6.5196066,4.390958
6.060774,3.9449892,3.0519495,25.0853,1.0380921,6.583276,7.4417286,2.3837342,2.2481189,0.5342035,0.0,0.95414543,0.0,0.0,0.0,8.081537,1.0005031,3.9212656,0.94428873,5.958003,0.0,0.9256973,53.12694,3.0862951,0.0,1.9421759,17.87777,2.9059582,3.0475283,0.88426876,8.930304,2.9734073,2.0154338,0.0,0.9580636,0.951375,0.0,0.0,0.9844065,1.9591227,0.0,0.0,0.0,7.2812853,5.0258656,3.132084,31.859512,0.0,0.0,0.0,51.695908,3.7032366,0.0,0.5560312,17.881264
86.09044,48.00785,209.14937,190.35384,203.25226,106.17783,179.96474,88.05983,88.89562,130.00818,43.733948,34.12032,51.060013,75.05257,67.60962,86.359985,53.11593,109.30798,174.56967,93.219475,76.13834,119.266884,166.54451,47.36809,42.796867,45.197678,116.26652,41.20935,52.16528,63.242386,105.15667,17.036528,22.054472,57.195694,119.113785,29.155144,19.994463,51.05995,171.08951,67.08121,17.050243,70.07456,1.8700314,133.871,114.471275,112.239944,159.39168,70.505295,66.85309,104.94851,173.48906,48.72216,40.76255,44.560852,116.50078
