x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49
8.257082,-0.008530915,46.779095,15.585944,4.0506587,37.773342,47.36222,11.714161,1.1362936,18.914316,19.318634,3.2060435,13.815418,12.824272,9.76863,0.10814631,22.302334,25.065878,8.246272,1.7850533,18.213459,31.163809,11.344548,2.7403696,11.731858,30.277737,10.784719,2.5380087,12.029602,28.637161,7.179341,2.7962918,19.06956,30.302536,8.020866,4.3064427,21.183512,29.874483,9.832173,3.9116557,10.271907,22.816145,13.66739,5.237165,9.533043,8.300956,5.68279,5.350901,8.409939
60.303802,16.137602,166.5614,84.68367,29.79232,148.44653,244.55199,90.24746,7.752368,27.929413,243.75642,16.216925,27.501158,193.63629,115.82185,-18.265476,41.89705,288.10724,34.177784,9.138973,34.994965,259.88058,91.547134,12.667208,-9.286877,207.0347,81.11218,11.176916,79.62309,291.79773,76.22927,13.553301,68.95107,280.09204,69.909325,23.074705,68.49941,272.83844,82.04093,19.765747,71.56233,186.08322,116.11784,28.828194,69.67537,45.35031,31.645994,33.349174,60.394928
22.857065,18.94389,35.133457,28.07839,20.535057,38.07334,21.528637,21.592003,16.359467,23.500877,13.328859,10.555096,6.0482116,13.98692,2.6342597,15.98737,15.266251,14.2752495,10.484676,12.435968,13.455341,16.27818,24.89083,10.170219,-2.707714,16.252333,21.093117,10.020524,12.892801,9.163457,19.109644,10.175816,4.5374594,11.932711,19.726002,10.106813,2.1468413,10.332985,20.26917,10.467225,-2.7960453,11.243824,14.093494,11.779371,-3.2901974,8.936265,12.899848,11.39702,3.6319997
61.52302,38.248123,149.55615,57.716637,44.24517,135.52052,81.326935,49.26829,34.433502,130.89516,46.100063,37.70976,61.71319,63.70956,1.1177006,40.328743,126.92645,73.06213,31.109838,36.164234,123.114944,98.48689,56.505802,37.042213,84.7408,107.31976,46.39558,36.725357,84.56375,69.53015,43.8026,38.25891,90.24953,54.76337,44.097725,40.439144,91.26251,49.905094,46.563496,37.791603,56.009327,49.325047,33.9536,41.098763,50.349133,33.828644,44.02909,41.929398,39.949657
2.8518212,2.577937,6.319358,1.8421135,0.64428663,6.0111322,6.9850197,0.6639521,1.4778571,8.489045,1.2826946,2.2977023,1.0749842,0.5592666,-2.3388216,1.8431104,9.472141,1.4768016,0.39098313,2.0068014,13.839802,9.495067,1.0799927,2.1210368,5.180835,10.029058,2.1850424,2.2204494,1.0612552,1.9943261,-0.042999268,2.1817112,1.9590063,0.97394013,0.46819448,1.8516358,2.5149302,1.3081532,0.56372344,1.6417046,2.1925244,1.8958151,0.82271236,1.0148097,2.0447943,2.3171911,1.1178032,0.68899345,1.590209
0.21192169,-1.0609989,72.28899,-84.05879,-84.497444,-21.575104,93.79822,53.344334,31.143572,127.89853,-15.424637,31.15472,94.72655,-8.590797,40.097813,52.30765,130.2383,-45.842316,11.540293,34.63274,392.57715,282.029,70.62971,28.714346,282.02734,383.1936,88.71393,35.08549,10.375168,108.75845,64.6824,29.06293,94.38605,45.137276,62.366215,5.176906,117.306595,44.890747,60.395126,-0.22342396,24.352356,-11.826218,-43.995472,-46.61215,29.449543,-57.39734,-65.23525,-54.40669,-8.0195465
20.568844,9.813318,67.460945,34.775345,14.781243,59.41362,102.8169,7.0034323,-0.2207036,10.197205,26.182213,-2.6762176,-12.4300165,2.8177738,-1.6161861,-5.3526,2.6958418,33.806095,-3.1855497,-3.1824641,27.39574,77.124626,7.902194,-4.37195,-15.223267,66.459785,7.8247547,-5.1513906,4.243125,58.943512,0.51172185,-4.420004,13.183076,51.345924,1.7303134,-2.3875165,15.915661,51.61419,4.473464,-1.4498258,10.182299,43.22622,16.24054,4.6986065,9.047785,16.842468,9.550482,7.2492857,11.562943
22.723896,18.803272,51.93,33.953125,14.79777,43.624756,106.37896,33.09775,11.992284,9.632538,60.90363,16.713444,-9.664722,33.481804,27.030918,11.140282,10.329382,63.10493,21.569838,13.500625,46.825436,108.55378,36.08036,14.041976,-6.9948845,96.0512,37.25333,13.794807,10.01128,76.299324,29.000832,13.875814,8.692011,67.07909,27.223522,13.577895,9.8306055,68.14269,30.838726,14.455344,14.210627,52.31273,31.634966,16.10504,14.218844,26.84881,18.792122,16.389881,18.497046
9.143007,5.8409996,17.959599,7.194414,5.310539,13.782263,30.463453,16.369886,3.7444892,11.483496,28.152338,6.0471754,-1.577666,21.055582,10.617867,4.709825,12.214898,31.992481,9.867207,4.793791,11.323827,43.382767,16.750252,5.3273625,3.6467254,37.72642,13.174577,5.205735,12.03981,38.04558,16.072725,5.3272653,14.797693,30.255735,14.797878,5.535122,15.660343,30.74339,15.797686,5.6662445,15.456316,23.248854,10.233219,6.4195876,13.453646,6.198137,6.643223,6.913367,7.4710445
1.9224393,1.6440179,-3.9171107,0.23702872,0.636201,-1.1754849,5.645787,1.6694219,2.2389574,1.214297,2.5545099,1.7336214,1.5896769,3.1167042,1.729137,0.07247788,-2.9425652,1.5983484,-1.1058929,2.145829,-5.8524847,5.1025276,1.1750515,1.9507539,1.3080232,2.775352,1.4872403,2.033423,0.58930284,11.885935,0.9172023,1.8693686,3.5359366,14.883686,1.38761,1.4755142,4.424798,15.676614,1.7610271,1.60001,7.5132213,11.9967985,4.5602293,1.0666962,7.2881436,3.5324302,0.9745737,1.467213,5.4565697
12.696209,12.018203,28.446285,16.79182,12.492375,27.88084,26.055168,14.100982,15.074718,20.752281,5.08156,17.096024,14.880184,8.1777725,4.1727095,17.590664,21.752777,6.9540935,12.738689,16.823118,30.98388,17.128052,16.571072,17.534864,18.594093,20.39523,13.947703,17.656326,15.947931,8.399417,10.302374,17.67313,14.486343,7.7925363,10.263484,17.260626,13.954051,7.6268773,12.322852,16.974297,9.6051655,10.785843,10.4521885,16.36959,9.594269,14.920178,16.37664,15.641347,11.537364
