MF102,MF117,MF121,MF1223,MF124,MF13,MF134,MF137,MF141,MF144,MF167,MF179,MF181,MF184,MF191,MF195,MF198,MF2,MF200,MF21,MF257,MF27,MF312,MF370,MF39,MF421,MF439,MF44,MF46,MF465,MF476,MF478,MF5,MF557,MF57,MF59,MF6,MF697,MF7,MF78,MF89,MF9
17.266125,0.0,6.8068023,71.60879,19.0272,2.8787777,29.422886,0.0,25.65504,57.265697,0.0,9.722299,28.87231,7.968444,20.501385,42.59064,13.423109,3.2832093,11.9009285,4.4824977,9.198778,16.328587,25.911402,58.24638,5.5523205,0.0,12.107227,9.867993,15.055973,3.9821038,0.0,7.592169,68.304146,7.3982034,0.0,12.619928,0.0,2.4393892,497.8187,0.0,3.0070746,2.4418643
21.267572,0.0,10.282034,92.057495,30.984774,7.7090287,35.276817,0.0,32.849194,68.525375,0.0,8.527833,35.700256,6.213408,28.446295,55.611103,18.929588,3.0696378,7.2696333,4.703375,7.256237,21.473045,21.812012,73.17624,5.327106,0.0,12.099448,10.336515,22.237682,8.891391,0.0,9.996483,71.94205,9.390025,0.0,16.424778,0.0,4.6194005,609.1716,0.0,1.5493473,3.0465753
5.160763,0.0,10.012519,7.6054106,21.265999,12.476498,6.5807066,0.0,18.31265,30.364143,0.0,11.363151,50.965405,1.9580196,9.568966,46.421963,12.311135,0.0,27.733473,0.0,7.940004,14.664161,8.959373,25.264725,0.0,0.0,16.36233,1.1763313,9.436078,11.677749,0.0,9.014429,7.1996193,5.2937636,0.0,5.748182,0.0,5.171216,97.19233,0.0,3.269461,3.13285
1.9429245,0.0,4.4876094,0.0,6.1506433,4.9391656,4.9677453,0.0,14.871391,32.371758,0.0,15.923113,46.543514,8.448597,2.5783825,40.3115,5.850035,0.044917416,40.676094,0.0,13.737661,13.623845,25.493042,12.465716,0.44814003,0.0,16.994736,2.9819965,1.9444087,2.9248774,0.0,5.8086743,19.6073,4.508449,0.0,2.7669594,0.0,3.6854417,52.84633,0.0,9.021658,2.7411933
12.560964,0.0,4.351959,52.4039,10.972042,0.7368311,22.84775,0.0,19.010717,42.57267,0.0,9.198005,19.86383,7.111143,14.572865,29.612392,9.083729,2.8458178,10.567672,3.3372116,7.9655304,11.227025,22.80345,43.001705,4.8664775,0.0,9.318489,8.465126,9.54149,1.2691338,0.0,5.6781726,55.840176,5.489173,0.0,9.457814,0.0,1.0947849,378.33966,0.0,2.5106883,1.6804956
19.34567,0.0,8.664706,85.91941,26.071867,5.288247,32.688625,0.0,28.496157,60.949303,0.0,7.3755326,26.956573,5.407702,25.564678,46.776157,16.482635,2.8865252,4.0750027,4.477545,5.928164,18.522482,20.424837,65.68922,5.0262313,0.0,9.515398,9.743377,19.693619,6.7079835,0.0,8.556593,67.26008,8.267488,0.0,14.910139,0.0,3.9253056,564.41547,0.0,1.044443,2.5004778
5.129892,0.0,9.956418,7.5419407,20.742147,12.256781,6.533059,0.0,17.832277,29.717548,0.0,11.19643,49.711166,1.8141711,9.241887,45.495728,12.220467,0.0,27.10399,0.0,7.8701115,14.354098,8.814929,24.525414,0.0,0.0,15.942157,1.0964329,9.190607,11.470752,0.0,8.731609,6.800934,5.287902,0.0,5.5541334,0.0,4.9783335,94.99728,0.26759517,3.3105512,3.0589755
5.096979,0.0,6.466616,7.3279457,10.343423,6.2800207,9.606587,0.0,18.071285,37.11975,0.0,15.459607,50.307972,8.863252,5.568431,44.567123,8.464249,0.050083946,37.352207,0.0,13.658488,13.957602,24.263563,24.309568,1.05287,0.0,18.403137,3.7910674,5.055981,5.4279337,0.0,7.5254207,26.421429,4.955365,0.0,4.402108,0.0,3.00283,124.07297,0.0,7.4929414,3.3696432
14.706238,0.0,5.54048,60.929607,14.995702,2.5713403,25.471554,0.0,22.018274,48.975025,0.0,8.930968,24.427477,6.9082613,17.294874,35.863785,11.250114,2.697707,10.72214,3.7957175,8.129155,13.736496,23.24125,49.885372,4.8363013,0.0,10.814188,8.774546,12.530915,3.3614895,0.0,6.5699425,59.52382,6.504123,0.0,10.932581,0.0,2.0892315,428.16974,0.0,2.3343894,2.2247477
22.971931,0.0,10.694459,100.2369,33.109818,7.58564,38.06789,0.0,35.128582,73.83707,0.0,8.670621,37.37213,6.852556,30.55589,59.529945,20.123484,3.1828113,7.343352,5.2698145,7.830761,23.308615,24.158997,78.421875,5.7885103,0.0,12.481767,11.263018,24.090822,9.091758,0.0,10.246845,77.39702,9.970698,0.0,18.01598,0.0,4.9493985,659.49414,0.0,2.0085876,3.16327
5.598377,0.0,10.843566,7.4945197,22.902845,13.481795,7.1016874,0.0,20.493118,35.229904,0.0,12.947128,58.463303,2.8233068,9.948817,53.199528,13.2456,0.0,33.348347,0.0,9.970369,17.079248,11.784868,27.39972,0.0,0.0,18.574476,1.3088871,10.193754,12.276004,0.0,9.476805,8.62854,5.8879027,0.0,6.313292,0.0,5.230113,102.79184,0.38825297,4.7304254,3.5112708
5.3567176,0.0,7.2193584,6.540145,11.697374,7.125076,10.12955,0.0,20.64848,42.737835,0.0,17.574314,59.306755,10.162794,5.962366,52.406776,9.256709,0.0,44.22321,0.0,16.040771,16.708305,28.05283,26.549725,1.2974672,0.0,21.055735,4.070778,5.8576856,5.9346023,0.0,8.274299,28.524466,5.465317,0.0,4.9092536,0.0,3.268922,128.57771,0.0,9.065525,3.9392204
19.758928,0.0,7.6591296,82.230156,22.880632,3.4772227,33.17994,0.0,29.56427,65.5347,0.0,10.4119005,33.727875,8.727073,23.643517,49.83735,15.477528,3.1473436,13.224919,5.0452495,10.115031,19.328873,28.699074,66.39021,6.110232,0.0,13.366174,11.030081,17.855589,5.0608063,0.0,8.379193,75.309586,8.460498,0.0,14.83772,0.0,3.0222511,565.52466,0.0,3.2993462,2.7176008
22.128435,0.0,10.933641,95.08479,33.31239,8.617757,36.413383,0.0,34.768093,72.18718,0.0,8.997466,39.725365,6.5134163,29.762712,59.92792,20.02706,2.8347495,8.928717,4.772169,7.741215,23.064594,22.970762,76.79387,5.5700016,0.0,13.271975,10.80603,23.656965,9.744141,0.0,10.408476,73.80383,9.743117,0.0,17.636337,0.0,4.968845,631.50507,0.0,1.9480273,3.3726091
