"MF";"RNN_RMSE";"LOESS_RMSE";"SARIMA_RMSE";"RNN_Acc";"LOESS_accuracy";"SARIMA_accuracy";"scientificName"
"MF134";5.1100859043155;23.2476611842272;6.45663698588913;0.744927418073711;0.313971095157305;0.739766361336546;"Gibbaranea occidentalis Wunderlich, 1989"
"MF200";8.32539554362094;12.5703011891547;13.187639212194;0.660788336223687;0.347407421010536;NA;"Hemerobius azoricus Tjeder, 1948"
"MF13";6.15755972719864;6.60303490208849;6.90337121637108;0.296389622110127;0.225535034842968;NA;"Hoplothrips corticis (De Geer, 1773)"
"MF167";3.3078935222437;3.57217333276044;3.70250960829002;0.163324388813745;0.250729613983032;0.341224032697356;"Kleidocerys ericae (Horváth, 1909)"
"MF117";3.13988346407741;16.2815502597131;8.1578212276005;0.765627350323794;0.331808939528495;0.619962597970924;"Lathys dentichelis (Simon, 1883)"
"MF6";20.2877588358902;78.2174235659504;31.9925408733833;0.41325399825994;0.278982298508247;NA;"Leiobunum blackwalli Meade, 1861"
"MF179";3.52728132411707;4.3081877927776;5.09090832348837;0.359109258794193;0.473943231225208;0.52864514707389;"Leucognatha acoreensis Wunderlich, 1992"
"MF27";4.11603255437982;13.1722363179852;8.19591168689149;0.394724061031327;0.154998310431713;0.386197777457194;"Lithobius pilicornis pilicornis Newport, 1844"
"MF198";3.49220299505161;9.0035074618361;5.27573607844183;0.688272885274653;0.841155183237089;0.703062049587635;"Macaroeris cata (Blackwall, 1867)"
"MF476";2.92925422195715;7.85077740515015;5.29080231197454;0.348087991821924;0.212325520306048;0.46115529069619;"Monalocoris filicis (Linnaeus, 1758)"
"MF439";15.5373319391156;31.00027357942;14.8483436767061;0.451959835600426;0.539396445226585;0.760358405616589;"Notothecta dryochares (Israelson, 1985)"
"MF9";2.09574209160714;3.14712365008134;2.95750003315189;0.439639858001019;0.0640371241269494;0.114352566227062;"Ommatoiulus moreleti (Lucas, 1860)"
"MF137";10.0556670342708;52.5453592031526;21.5260874129843;0.969706505952682;0.58712219079921;0.894225919089401;"Pinalitus oromii J. Ribes, 1992"
"MF39";3.43158757483041;9.78631082234075;6.03975905294939;0.298960167427088;0.271467358043437;0.392691520372776;"Pisaura acoreensis Wunderlich, 1992"
"MF102";1.68504364983687;13.8680089870962;3.56041180090202;0.966140275035872;0.540764890836814;0.928553658275903;"Pseudophloeophagus tenax borgesi Stüben, 2022"
"MF5";12.3448223425224;35.8618685658533;21.8614844142429;0.747323988521761;0.755685117421304;0.838168747976883;"Rugathodes acoreensis Wunderlich, 1992"
"MF181";7.02663087545813;19.2547031893277;19.2871052915348;0.68289320398983;0.502328964588601;0.562120438514369;"Savigniorrhipis acoreensis Wunderlich, 1992"
"MF557";1.79165651598234;4.15863211789478;4.08381581511243;0.822530303570767;0.439413357716162;0.699332151161785;"Strophingia harteni Hodkinson, 1981"
"MF89";1.96458694049852;3.49389996676353;3.93368091133577;0.404141138972052;NA;NA;"Tachyporus nitidulus (Fabricius, 1781)"
"MF21";1.85579470596436;5.97881125948594;3.83603194479036;0.853889655884198;0.408510370029218;0.748536968232373;"Tenuiphantes tenuis (Blackwall, 1852)"
"MF478";2.12790808195843;7.23521192852537;7.68254963973033;0.538123572002001;0.536231306945043;NA;"Trichopsocus clarus (Banks, 1908)"
"MF144";23.2308786671291;98.5525740766284;67.5217319115235;0.581203129920782;0.422742606950219;NA;"Trigoniophthalmus borgesi Mendes, Gaju, Bach & Molero, 2000"
"MF195";14.3748410715873;41.0756914021129;34.8832909305287;0.830826513776978;0.719848295947989;0.55906808668707;"Trioza laurisilvae Hodkinson, 1990"
"MF191";7.04397463419276;24.921141937464;15.6478124436689;0.749158458830011;0.617570185018357;0.775743042503003;"Valenzuela flavidus (Stephens, 1836)"
"MF421";4.57159393184066;3.726986548138;3.22203718477438;NA;NA;0.50816597121728;"Walckenaeria grandis (Wunderlich, 1992)"
"MF59";3.98552876272746;12.214878069767;9.15451858660345;0.433350018400402;0.263202577998707;0.466781986039113;"Zetha simonyi (Krauss, 1892)"
