MF;abpcode;scientificName;taxonRank;scientificName_GBIF;kingdom;phylum;class;order;family;genus;specificEpithet;infraspecificEpithet;scientificNameAuthorship;establishmentMeans;Ind.NonInd;trophic
42;A01690;Orthonama obstipata (Fabricius, 1794);species;Nycterosea obstipata (Fabricius, 1794);Animalia;Arthropoda;Insecta;Lepidoptera;Geometridae;Orthonama;obstipata;NA;(Fabricius, 1794);N;Ind;H
43;NA;Acrotrichis sp.;genus;NA;Animalia;Arthropoda;Insecta;Coleoptera;Ptiliidae;Acrotrichis;sp.;NA;NA;Indeterminate;Indeterminate;S
44;A01601;Cinara juniperi (De Geer, 1773);species;Cinara juniperi (De Geer, 1773);Animalia;Arthropoda;Insecta;Hemiptera;Aphididae;Cinara;juniperi;NA;(De Geer, 1773);N;Ind;H
45;A00037;Anisodactylus binotatus (Fabricius, 1787);species;Anisodactylus binotatus (Fabricius, 1787);Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Anisodactylus;binotatus;NA;(Fabricius, 1787);I;NonInd;P
46;A02371;Drouetius borgesi borgesi (Machado, 2009);subspecies;Drouetius borgesi borgesi;Animalia;Arthropoda;Insecta;Coleoptera;Curculionidae;Drouetius;borgesi;borgesi;(Machado, 2009);E;Ind;H
47;A00987;Scutigerella immaculatus (Newport, 1845);species;Scutigerella immaculatus (Newport, 1845);Animalia;Arthropoda;Symphyla;Symphyla;Scutigerellidae;Scutigerella;immaculatus;NA;(Newport, 1845);I;NonInd;S
48;A00998;Blaniulus guttulatus (Fabricius, 1798);species;Blaniulus guttulatus (Fabricius, 1798);Animalia;Arthropoda;Diplopoda;Julida;Blaniulidae;Blaniulus;guttulatus;NA;(Fabricius, 1798);I;NonInd;S
49;A01000;Nopoiulus kochii (Gervais, 1847);species;Nopoiulus kochii (Gervais, 1847);Animalia;Arthropoda;Diplopoda;Julida;Blaniulidae;Nopoiulus;kochii;NA;(Gervais, 1847);I;NonInd;S
50;A00589;Canariphantes acoreensis (Wunderlich, 1992);species;Canariphantes acoreensis (Wunderlich, 1992);Animalia;Arthropoda;Arachnida;Araneae;Linyphiidae;Canariphantes;acoreensis;NA;(Wunderlich, 1992);E;Ind;P
51;A00034;Paranchus albipes (Fabricius, 1796);species;Paranchus albipes (Fabricius, 1796);Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Paranchus;albipes;NA;(Fabricius, 1796);I;NonInd;P
52;A00200;Cordalia obscura (Gravenhorst, 1802);species;Cordalia obscura (Gravenhorst, 1802);Animalia;Arthropoda;Insecta;Coleoptera;Staphylinidae;Cordalia;obscura;NA;(Gravenhorst, 1802);Indeterminate;Indeterminate;P
53;A01001;Proteroiulus fuscus (Am Stein, 1857);species;Proteroiulus fuscus (Am Stein, 1857);Animalia;Arthropoda;Diplopoda;Julida;Blaniulidae;Proteroiulus;fuscus;NA;(Am Stein, 1857);I;NonInd;S
54;NA;Margarodidae sp.;family;NA;Animalia;Arthropoda;Insecta;Hemiptera;Margarodidae;Gen.;sp.;NA;NA;Indeterminate;Indeterminate;H
