"Event_ID","Placement","Sampling.Date","Season","Year","Notes","Sorting.Status.Order","Sorting.Status.Morphospecies","Location.of.the.sample"
"TER-NFTB-T-15_3_2019","2018-12-08","2019-03-09","winter","2019","NA","Sorted","Sorted","Entomoteca"
"FAI-NFCF-T-08_3_2019","2018-12-11","2019-03-19","winter","2019","NA","Not sorted","Not sorted","Lab Rui Elias"
"FAI-NFCG-T-01_3_2019","2018-12-11","2019-03-19","winter","2019","NA","Not sorted","Not sorted","Lab Rui Elias"
"FAI-PEDRO-MIGUEL_3_2019","2018-12-11","2019-03-19","winter","2019","NA","Not sorted","Not sorted","Lab Rui Elias"
"TER-NFBF-TP41_3_2019","2018-12-15","2019-03-09","winter","2019","NA","Sorted","Sorted","Entomoteca"
"TER-NFTB-T-18-ORIGINAL_3_2019","2018-12-15","2019-03-09","winter","2019","NA","Sorted","Sorted","Entomoteca"
"TER-0M_3_2019","2018-12-16","2019-03-16","winter","2019","NA","Sorted","Sorted","Entomoteca"
"TER-200M_3_2019","2018-12-16","2019-03-16","winter","2019","NA","Sorted","Sorted","Entomoteca"
"TER-400M_3_2019","2018-12-16","2019-03-16","winter","2019","NA","Sorted","Sorted","Entomoteca"
"TER-NFSB-TE48_3_2019","2018-12-16","2019-03-16","winter","2019","NA","Sorted","Sorted","Entomoteca"
"PIC-ML-200_3_2019","2018-12-17","2019-03-17","winter","2019","NA","Sorted","Sorted","Lab Rui Elias"
"PIC-ML-400_3_2019","2018-12-17","2019-03-17","winter","2019","NA","Sorted","Sorted","Lab Rui Elias"
"PIC-ML-600_3_2019","2018-12-17","2019-03-17","winter","2019","NA","Sorted","Sorted","Lab Rui Elias"
"PIC-ML-800_3_2019","2018-12-17","2019-03-17","winter","2019","NA","Sorted","Sorted","Lab Rui Elias"
"PIC-NFCA-T-09_3_2019","2018-12-17","2019-03-17","winter","2019","NA","Sorted","Sorted","Lab Rui Elias"
"PIC-NFLC-T-02_3_2019","2018-12-17","2019-03-17","winter","2019","NA","Sorted","Sorted","Lab Rui Elias"
"PIC-NFMP-T-03_3_2019","2018-12-17","2019-03-17","winter","2019","NA","Sorted","Sorted","Lab Rui Elias"
"TER-NFSB-T164_3_2019","2018-12-18","2019-03-14","winter","2019","NA","Sorted","Sorted","Entomoteca"
"TER-NFSB-TE49_3_2019","2018-12-18","2019-03-16","winter","2019","NA","Sorted","Sorted","Entomoteca"
"GRA-CALG-Z-08_1_2019","2018-12-26","2019-01-26","monthly study","2018","NA","Not sorted","Not sorted","Lab Rui Elias"
"GRA-CALN-T-01_1_2019","2018-12-26","2019-01-26","monthly study","2018","NA","Not sorted","Not sorted","Lab Rui Elias"
"SMR-NFPA-T-01_3_2019","2019-01-14","2019-03-14","3 months","2019","NA","Not sorted","Not sorted","Lab Rui Elias"
"GRA-CALG-Z-08_2_2019","2019-01-26","2019-02-26","monthly study","2019","NA","Not sorted","Not sorted","Lab Rui Elias"
"GRA-CALN-T-01_2_2019","2019-01-26","2019-02-26","monthly study","2019","NA","Not sorted","Not sorted","Lab Rui Elias"
"GRA-CALG-Z-08_3_2019","2019-02-26","2019-03-26","monthly study","2019","NA","Not sorted","Not sorted","Lab Rui Elias"
"GRA-CALN-T-01_3_2019","2019-02-26","2019-03-26","monthly study","2019","NA","Not sorted","Not sorted","Lab Rui Elias"
"TER-NFBF-TP41_6_2019","2019-03-09","2019-06-27","spring","2019","NA","Sorted","Sorted","Entomoteca"
"TER-NFTB-T-15_6_2019","2019-03-09","2019-06-22","spring","2019","NA","Sorted","Sorted","Entomoteca"
"TER-NFTB-T-18-ORIGINAL_6_2019","2019-03-09","2019-06-27","spring","2019","NA","Sorted","Sorted","Entomoteca"
"TER-MATE-T-13 (TER-PRIBS-T01)_9_2019","2019-03-13","2019-09-21","spring/summer","2019","NA","Sorted","Sorted","Lab PB"
"SMR-NFPA-T-01_6_2019","2019-03-14","2019-06-14","3 months","2019","NA","Not sorted","Not sorted","Lab Rui Elias"
"TER-NFBF-T-01_6_2019","2019-03-14","2019-06-07","spring","2019","NA","Sorted","Sorted","Entomoteca"
"TER-NFBF-T-02_6_2019","2019-03-14","2019-06-17","spring","2019","NA","Sorted","Sorted","Entomoteca"
"TER-NFSB-T164_6_2019","2019-03-14","2019-06-27","spring","2019","NA","Sorted","Sorted","Entomoteca"
"TER-NFSB-T-07_6_2019","2019-03-15","2019-06-18","spring","2019","NA","Sorted","Sorted","Entomoteca"
"TER-0M_6_2019","2019-03-16","2019-06-06","spring","2019","NA","Sorted","Sorted","Entomoteca"
"TER-200M_6_2019","2019-03-16","2019-06-06","spring","2019","NA","Sorted","Sorted","Entomoteca"
"TER-400M_6_2019","2019-03-16","2019-06-06","spring","2019","NA","Sorted","Sorted","Entomoteca"
"TER-NFSB-TE48_6_2019","2019-03-16","2019-06-06","spring","2019","NA","Sorted","Sorted","Entomoteca"
"TER-NFSB-TE49_6_2019","2019-03-16","2019-06-27","spring","2019","NA","Sorted","Sorted","Entomoteca"
"PIC-ML-200_6_2019","2019-03-17","2019-06-14","spring","2019","NA","Sorted","Sorted","Lab Rui Elias"
"PIC-ML-400_6_2019","2019-03-17","2019-06-14","spring","2019","NA","Sorted","Sorted","Lab Rui Elias"
"PIC-ML-600_6_2019","2019-03-17","2019-06-14","spring","2019","NA","Sorted","Sorted","Lab Rui Elias"
"PIC-ML-800_6_2019","2019-03-17","2019-06-14","spring","2019","NA","Sorted","Sorted","Lab Rui Elias"
"PIC-NFCA-T-09_6_2019","2019-03-17","2019-06-14","spring","2019","NA","Sorted","Sorted","Lab Rui Elias"
"PIC-NFLC-T-02_6_2019","2019-03-17","2019-06-14","spring","2019","NA","Sorted","Sorted","Lab Rui Elias"
"PIC-NFMP-T-03_6_2019","2019-03-17","2019-06-14","spring","2019","NA","Sorted","Sorted","Lab Rui Elias"
"TER-PRIBS-T02_9_2019","2019-03-19","2019-09-21","spring/summer","2019","NA","Sorted","Sorted","Lab PB"
"TER-POSA-T172 (TER-PRIBS-T03)_5_2019","2019-03-20","2019-05-17","spring","2019","FIM","Sorted","Sorted","Lab PB"
"TER-PRIBS-T04_9_2019","2019-03-20","2019-09-23","spring/summer","2019","NA","Sorted","Sorted","Lab PB"
"TER-CABI-T166 (TER-PRIBS-T06)_9_2019","2019-03-21","2019-09-21","spring/summer","2019","NA","Sorted","Sorted","Lab PB"
"TER-MNEG-T-62 (TER-PRIBS-T05)_9_2019","2019-03-21","2019-09-21","spring/summer","2019","NA","Sorted","Sorted","Lab PB"
"TER-PRIBS-T07_9_2019","2019-03-21","2019-09-21","spring/summer","2019","NA","Sorted","Sorted","Lab PB"
"TER-FTER-T-36 (TER-PRIBS-T09)_9_2019","2019-03-23","2019-09-24","spring/summer","2019","NA","Sorted","Sorted","Lab PB"
"TER-PRIBS-T08_9_2019","2019-03-23","2019-09-25","spring/summer","2019","NA","Sorted","Sorted","Lab PB"
"TER-ACAR-T-25 (TER-PRIBS-T10)_9_2019","2019-03-24","2019-09-24","spring/summer","2019","NA","Sorted","Sorted","Lab PB"
"TER-NFPG-T-33_6_2019","2019-03-24","2019-06-22","spring","2019","NA","Sorted","Sorted","Entomoteca"
"GRA-CALG-Z-08_4_2019","2019-03-26","2019-04-26","monthly study","2019","NA","Not sorted","Not sorted","Lab Rui Elias"
"GRA-CALN-T-01_4_2019","2019-03-26","2019-04-26","monthly study","2019","NA","Not sorted","Not sorted","Lab Rui Elias"
"TER-PRIBS-T11_9_2019","2019-03-26","2019-09-25","spring/summer","2019","NA","Sorted","Sorted","Lab PB"
"TER-PRIBS-T12_9_2019","2019-03-26","2019-09-25","spring/summer","2019","NA","Sorted","Sorted","Lab PB"
"TER-PRIBS-T13_9_2019","2019-03-28","2019-09-30","spring/summer","2019","NA","Sorted","Sorted","Lab PB"
"TER-PRIBS-T14_9_2019","2019-03-28","2019-09-30","spring/summer","2019","NA","Sorted","Sorted","Lab PB"
"TER-PRIBS-T15_9_2019","2019-03-28","2019-09-30","spring/summer","2019","NA","Sorted","Sorted","Lab PB"
"TER-PRIBS-T17_10_2019","2019-03-31","2019-10-01","spring/summer","2019","NA","Sorted","Sorted","Lab PB"
"TER-PRIBS-T19_10_2019","2019-03-31","2019-10-01","spring/summer","2019","NA","Sorted","Sorted","Lab PB"
"TER-PRIBS-T20_10_2019","2019-04-02","2019-10-01","spring/summer","2019","NA","Sorted","Sorted","Lab PB"
"TER-PRIBS-T22_10_2019","2019-04-07","2019-10-01","spring/summer","2019","NA","Sorted","Sorted","Lab PB"
"TER-PRIBS-T23_10_2019","2019-04-07","2019-10-01","spring/summer","2019","FIM","Sorted","Sorted","Lab PB"
"TER-PRIBS-T24_10_2019","2019-04-07","2019-10-01","spring/summer","2019","NA","Sorted","Sorted","Lab PB"
"TER-PRIBS-T27_10_2019","2019-04-11","2019-10-14","spring/summer","2019","NA","Sorted","Sorted","Lab PB"
"TER-PRIBS-T28_10_2019","2019-04-11","2019-10-14","spring/summer","2019","NA","Sorted","Sorted","Lab PB"
"GRA-CALG-Z-08_5_2019","2019-04-26","2019-05-26","monthly study","2019","NA","Not sorted","Not sorted","Lab Rui Elias"
"GRA-CALN-T-01_5_2019","2019-04-26","2019-05-26","monthly study","2019","NA","Not sorted","Not sorted","Lab Rui Elias"
"GRA-CALG-Z-08_6_2019","2019-05-26","2019-06-26","monthly study","2019","NA","Not sorted","Not sorted","Lab Rui Elias"
"GRA-CALN-T-01_6_2019","2019-05-26","2019-06-26","monthly study","2019","NA","Not sorted","Not sorted","Lab Rui Elias"
"TER-0M_9_2019","2019-06-06","2019-09-07","summer","2019","NA","Sorted","Sorted","Entomoteca"
"TER-200M_9_2019","2019-06-06","2019-09-07","summer","2019","NA","Sorted","Sorted","Entomoteca"
"TER-400M_9_2019","2019-06-06","2019-09-07","summer","2019","NA","Sorted","Sorted","Entomoteca"
